frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:06:29.030646124 CET","www.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.030723118 CET","www.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.111716342 CET","cfl.dropboxstatic.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.111823951 CET","cfl.dropboxstatic.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.111940693 CET","previews.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.112008748 CET","previews.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.209590992 CET","www.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.209609345 CET","www.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.327631477 CET","ocsp.digicert.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.327715879 CET","ocsp.digicert.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.335240803 CET","ocsp.digicert.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.392928783 CET","ocsp.digicert.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.393229701 CET","fp2e7a.wpc.phicdn.net","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.396822531 CET","fp2e7a.wpc.phicdn.net","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.780421849 CET","incoming.telemetry.mozilla.org","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.780537231 CET","incoming.telemetry.mozilla.org","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.835931638 CET","consent.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.836002425 CET","consent.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.836057636 CET","accounts.google.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.836111165 CET","accounts.google.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:29.923219027 CET","accounts.google.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.925617848 CET","incoming.telemetry.mozilla.org","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.926754050 CET","accounts.google.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.930617711 CET","consent.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:29.931605411 CET","consent.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.069676721 CET","incoming.telemetry.mozilla.org","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.071359288 CET","telemetry-incoming.r53-2.services.mozilla.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.074404553 CET","telemetry-incoming.r53-2.services.mozilla.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.164463425 CET","ocsp.pki.goog","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.164534980 CET","ocsp.pki.goog","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.184504286 CET","fp2e7a.wpc.phicdn.net","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.229328960 CET","ocsp.pki.goog","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.229355324 CET","ocsp.pki.goog","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.231135633 CET","fp2e7a.wpc.phicdn.net","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.726963752 CET","www.gstatic.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.727054274 CET","www.gstatic.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.754666420 CET","fp.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.754755137 CET","fp.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.771447517 CET","www.gstatic.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.772529678 CET","www.gstatic.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.841442104 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.841644845 CET","stun.l.google.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.892346506 CET","fp.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.892420873 CET","fp.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.951761196 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.951969528 CET","stun.l.google.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.952054704 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.954770703 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.955051120 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.957650340 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.957726334 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.960054082 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.960757668 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.963482975 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.963665729 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.966110808 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.966451202 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:06:30.969028090 CET","stun.fpapi.io","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:06:30.971416722 CET","stun.fpapi.io","1","172.20.10.12","172.20.10.1"
