frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:08:39.178145176 CET","www-env.dropbox-dns.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:39.257728526 CET","www-env.dropbox-dns.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:08:59.152620252 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:59.156238106 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:08:59.354764032 CET","d.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:59.354904070 CET","d.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:59.361609634 CET","d.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:08:59.361888360 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:59.364540782 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:08:59.435185392 CET","d.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:08:59.614150463 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:08:59.617500066 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:00.630986991 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:00.646303843 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:00.885928019 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:00.889113782 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:00.984170270 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:00.984635187 CET","www.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:00.984699866 CET","www.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:01.051439197 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:01.053849706 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:01.056712899 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:01.109742707 CET","www.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:01.109742867 CET","www.dropbox.com","1","172.20.10.1","172.20.10.12"
