frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:11:03.225548022 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:03.229960729 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:04.085395440 CET","www.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:04.085549623 CET","www.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:04.168026456 CET","www.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:04.171658267 CET","www.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:06.096927708 CET","uc2405a8a31522b36645d13df43d.dl.dropboxusercontent.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:06.097016409 CET","uc2405a8a31522b36645d13df43d.dl.dropboxusercontent.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:06.165782774 CET","uc2405a8a31522b36645d13df43d.dl.dropboxusercontent.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:06.165802779 CET","uc2405a8a31522b36645d13df43d.dl.dropboxusercontent.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:09.260556870 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:09.273116114 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:11.726755114 CET","bolt.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:11.726826892 CET","bolt.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:11.799056817 CET","bolt.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:11.799113146 CET","bolt.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:11:11.799531199 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:11:11.802533445 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
