frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:12:16.399306297 CET","d.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:16.399396103 CET","d.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:16.401338504 CET","www-env.dropbox-dns.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:16.542614299 CET","bolt.v.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:16.542719837 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:16.546694762 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:16.584125313 CET","bolt.v.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:17.087540792 CET","thunder.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:17.087622391 CET","thunder.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:17.127445437 CET","thunder.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:17.128545388 CET","thunder.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:17.132093269 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:17.134986124 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:17.656067388 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:17.661252073 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:18.499371927 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:18.502508813 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:18.529567919 CET","www-env.dropbox-dns.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:18.543065674 CET","d.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:18.576581205 CET","d.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:18.577308433 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:18.580098676 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:23.895680232 CET","connectivity-check.ubuntu.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:23.974177278 CET","connectivity-check.ubuntu.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:24.998434336 CET","beacon.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:24.998532975 CET","beacon.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:25.066205114 CET","beacon.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:25.066204488 CET","beacon.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:12:25.066544644 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:12:25.069547934 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
