frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:14:29.436527774 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:29.450225814 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:32.404903918 CET","cdn.dropboxexperiment.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:32.405112142 CET","cdn.dropboxexperiment.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:32.409161492 CET","cdn.dropboxexperiment.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:32.490665000 CET","cdn.dropboxexperiment.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.463828984 CET","www-env.dropbox-dns.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.464226621 CET","edge-block-previews-env.dropbox-dns.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.505230047 CET","www-env.dropbox-dns.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.517259716 CET","edge-block-previews-env.dropbox-dns.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.608819856 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.611831186 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.616658287 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.619255903 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.698139913 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.701270919 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:33.914883192 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:14:33.918843286 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:14:34.428287507 CET","dropbox.com","1","172.20.10.12","172.20.10.1"
