frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:47:55.512810245 CET","www.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.512897578 CET","www.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.619127979 CET","cfl.dropboxstatic.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.619205012 CET","cfl.dropboxstatic.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.619265907 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.619320276 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.647533037 CET","www.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.654199286 CET","www.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.679385078 CET","cfl.dropboxstatic.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.679385225 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.679385642 CET","cfl.dropboxstatic.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.679490075 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.708135552 CET","ocsp.digicert.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.708213108 CET","ocsp.digicert.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.755827649 CET","ocsp.digicert.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.755827678 CET","ocsp.digicert.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:55.756303418 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:55.774829174 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.095734191 CET","incoming.telemetry.mozilla.org","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.095822462 CET","incoming.telemetry.mozilla.org","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.113630680 CET","consent.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.113798492 CET","consent.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.113870957 CET","accounts.google.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.113935821 CET","accounts.google.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.180772421 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:47:56.198120681 CET","incoming.telemetry.mozilla.org","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198689215 CET","accounts.google.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198693735 CET","incoming.telemetry.mozilla.org","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198715165 CET","consent.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198731782 CET","consent.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198731818 CET","accounts.google.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198731840 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:47:56.198982613 CET","telemetry-incoming.r53-2.services.mozilla.com","28","192.168.1.52","192.168.1.1"
