frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:51:36.178434485 CET","d.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.178524184 CET","d.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.219355894 CET","d.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:36.219386348 CET","d.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:36.219635118 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.244598488 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:36.907288068 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.926240485 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:36.945547898 CET","bolt.v.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.945839270 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.969885301 CET","cfl.dropboxstatic.com.cdn.cloudflare.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:36.971284505 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:36.980028790 CET","bolt.v.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.011898313 CET","cfl.dropboxstatic.com.cdn.cloudflare.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.036271111 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.043839555 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.293314871 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.293405574 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.377633380 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.389187873 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.740091369 CET","beacon.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.740154834 CET","beacon.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.741065083 CET","thunder.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.741125451 CET","thunder.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.789868569 CET","beacon.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.789868144 CET","thunder.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.789868642 CET","thunder.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.789895915 CET","beacon.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:37.790066286 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:37.814542282 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:38.242315696 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:38.259497121 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:38.782713831 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:38.797925274 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.124765914 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.149604631 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.192065761 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.206435465 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.270676910 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.285127255 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.293083640 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.297768742 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.301409940 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.307611682 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:51:43.407540304 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:51:43.432569937 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
