frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:52:57.730547872 CET","uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:57.730617863 CET","uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:57.782764556 CET","uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:57.782765579 CET","uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:57.837549700 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:57.859331631 CET","fp2e7a.wpc.phicdn.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:58.316870360 CET","sb-ssl.google.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:58.316962632 CET","sb-ssl.google.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:58.363549232 CET","sb-ssl.google.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:58.363553143 CET","sb-ssl.google.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:58.484573232 CET","ocsp.pki.goog","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:58.484681285 CET","ocsp.pki.goog","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:58.529482735 CET","ocsp.pki.goog","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:58.529482689 CET","ocsp.pki.goog","28","192.168.1.1","192.168.1.52"
