frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:53:22.542221890 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:22.542295003 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:22.591860222 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:53:22.591904290 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:53:24.454368315 CET","www.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:24.454672124 CET","www.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:24.504424705 CET","www.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:53:24.504424909 CET","www.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:53:26.095232426 CET","uc41eab7a54f42ae2c94b87ad3fb.dl.dropboxusercontent.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:26.095327807 CET","uc41eab7a54f42ae2c94b87ad3fb.dl.dropboxusercontent.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:53:26.153010684 CET","uc41eab7a54f42ae2c94b87ad3fb.dl.dropboxusercontent.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:53:26.153035093 CET","uc41eab7a54f42ae2c94b87ad3fb.dl.dropboxusercontent.com","1","192.168.1.1","192.168.1.52"
