frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:55:33.273733388 CET","www.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:33.273921964 CET","www.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:33.274003594 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:33.274075586 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:33.362911492 CET","www.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:33.362911534 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:33.362929699 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:33.362929800 CET","www.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.170949381 CET","fonts.googleapis.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.171007980 CET","fonts.googleapis.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.207879812 CET","fonts.googleapis.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.207882179 CET","fonts.googleapis.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.262431106 CET","ocsp.pki.goog","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.262497499 CET","ocsp.pki.goog","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.312909885 CET","ocsp.pki.goog","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.312909990 CET","ocsp.pki.goog","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.497305220 CET","dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.497446352 CET","dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.527397780 CET","dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.527398143 CET","dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.745759911 CET","bolt.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.745849729 CET","bolt.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.788245652 CET","bolt.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.788246003 CET","bolt.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:35.788510336 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:35.812563783 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.133174001 CET","res-1.cdn.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.133257480 CET","res-1.cdn.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.143259302 CET","word-edit.officeapps.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.143383348 CET","word-edit.officeapps.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.182975551 CET","res-1.cdn.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.183009694 CET","word-edit.officeapps.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.183009739 CET","res-1.cdn.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.183018235 CET","word-edit.officeapps.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.322719385 CET","cdn.dropboxexperiment.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.322862517 CET","cdn.dropboxexperiment.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.354459091 CET","cdn.dropboxexperiment.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.374072902 CET","cdn.dropboxexperiment.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.397133271 CET","euc-word-telemetry.officeapps.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.397255264 CET","euc-word-telemetry.officeapps.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:36.435227207 CET","euc-word-telemetry.officeapps.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:36.451646106 CET","euc-word-telemetry.officeapps.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:38.314465977 CET","officeclient.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:38.314540657 CET","officeclient.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:38.347660142 CET","officeclient.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:38.347676651 CET","officeclient.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:38.566541322 CET","fs.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:38.566657838 CET","fs.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:38.614734152 CET","fs.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:38.618281371 CET","fs.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:38.618704018 CET","e16604.g.akamaiedge.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:38.658999268 CET","e16604.g.akamaiedge.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.024312154 CET","collabrtc.officeapps.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.024425724 CET","collabrtc.officeapps.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.070536383 CET","collabrtc.officeapps.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.070536442 CET","collabrtc.officeapps.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.097426561 CET","eu-office.events.data.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.097508697 CET","eu-office.events.data.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.142523097 CET","eu-office.events.data.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.142522963 CET","eu-office.events.data.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.142765521 CET","onedscolprdweu06.westeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.183511104 CET","onedscolprdweu06.westeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.541733846 CET","puk2-collabhubrtc.officeapps.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.541986167 CET","puk2-collabhubrtc.officeapps.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.618388203 CET","puk2-collabhubrtc.officeapps.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.619140877 CET","puk2-collabhubrtc.officeapps.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.625753210 CET","beacon.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.625829843 CET","beacon.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.663167981 CET","beacon.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.663167983 CET","beacon.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:39.663380096 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:39.691790958 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.101173467 CET","ecs.office.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.101262353 CET","ecs.office.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.156879957 CET","ecs.office.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.157629475 CET","ecs.office.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.304995764 CET","onedscolprdneu04.northeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.383253362 CET","onedscolprdneu04.northeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.729302352 CET","amcdn.msftauth.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.729392970 CET","amcdn.msftauth.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.730009233 CET","storage.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.730087285 CET","storage.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.804038556 CET","storage.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.804060280 CET","amcdn.msftauth.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.804060311 CET","amcdn.msftauth.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.804060335 CET","storage.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:40.804725366 CET","i-am3p-cor004.api.p001.1drv.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:40.833502578 CET","i-am3p-cor004.api.p001.1drv.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.069354630 CET","js.monitor.azure.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.069439561 CET","js.monitor.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.098047102 CET","login.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.098136353 CET","login.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.119858134 CET","js.monitor.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.119862612 CET","js.monitor.azure.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.157149691 CET","login.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.157149690 CET","login.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.157463072 CET","www.tm.v4.a.prd.aadg.trafficmanager.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.186736306 CET","www.tm.v4.a.prd.aadg.trafficmanager.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.324040322 CET","mrodevicemgr.officeapps.live.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.324117795 CET","mrodevicemgr.officeapps.live.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.380127921 CET","mrodevicemgr.officeapps.live.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.380186336 CET","mrodevicemgr.officeapps.live.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.397628356 CET","onedscolprdneu04.northeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.434699620 CET","onedscolprdneu04.northeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.728036616 CET","omex.cdn.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.728136128 CET","omex.cdn.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.728207967 CET","store.office.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.728278087 CET","store.office.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.779254004 CET","omex.cdn.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.779254141 CET","omex.cdn.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.779253608 CET","store.office.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.779253790 CET","store.office.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.779527152 CET","prod-storepages.omexexternallfb.office.net.akadns.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.804309071 CET","prod-storepages.omexexternallfb.office.net.akadns.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.873826849 CET","oneocsp.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.873920830 CET","oneocsp.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.919205963 CET","oneocsp.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.919206212 CET","oneocsp.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:41.919612730 CET","a-0003.a-msedge.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:41.961878101 CET","a-0003.a-msedge.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.283345961 CET","fa000000002.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.283524811 CET","fa000000002.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.284000492 CET","eu-office.events.data.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.284071264 CET","eu-office.events.data.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.285441659 CET","fa000000006.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.285610939 CET","fa000000006.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.287144652 CET","fa000000012.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.288821395 CET","fa000000012.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.290245042 CET","fa000000029.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.290411568 CET","fa000000029.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.291515231 CET","fa000000051.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.291583801 CET","fa000000051.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.295784597 CET","fa000000059.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.295889946 CET","fa000000059.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.312153138 CET","fa000000074.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.312236928 CET","fa000000074.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.315977500 CET","fa000000085.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.316068102 CET","fa000000085.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.322959005 CET","fa000000002.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.322958982 CET","fa000000002.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.323389730 CET","fa000000096.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.323464107 CET","fa000000096.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324055010 CET","fa000000110.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324124327 CET","fa000000110.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324185286 CET","fa000000111.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324249958 CET","fa000000111.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324310061 CET","fa000000116.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.324370374 CET","fa000000116.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.325537315 CET","fa000000125.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.325866851 CET","fa000000125.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.329501488 CET","eu-office.events.data.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.334442424 CET","fa000000145.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.334554069 CET","fa000000145.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.335505028 CET","wa104381125.resources.office.net","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.335620938 CET","wa104381125.resources.office.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.340905419 CET","eu-office.events.data.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.341506366 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:42.364531817 CET","fa000000006.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.364532154 CET","fa000000006.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.364532215 CET","fa000000012.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.369446431 CET","fa000000012.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.388917353 CET","fa000000029.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.394993609 CET","fa000000029.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.397508266 CET","fa000000051.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.410839255 CET","fa000000051.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.448781630 CET","fa000000059.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.448929010 CET","fa000000074.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.463477106 CET","fa000000059.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.516635370 CET","fa000000074.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.516629913 CET","fa000000085.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.543287256 CET","fa000000085.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.543287263 CET","fa000000096.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.567002759 CET","fa000000096.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.581242934 CET","fa000000110.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.605137736 CET","fa000000110.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.622420441 CET","fa000000111.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.649787051 CET","fa000000111.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.691850069 CET","fa000000116.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.721624749 CET","fa000000116.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.721624927 CET","fa000000125.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.743374367 CET","fa000000125.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.773534208 CET","wa104381125.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.773555085 CET","fa000000145.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.773575269 CET","fa000000145.resources.office.net","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.796855091 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:42.796855325 CET","wa104381125.resources.office.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:43.226006314 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:43.226176951 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:43.264613809 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:43.267574913 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:44.199943566 CET","ajax.aspnetcdn.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:44.200012883 CET","ajax.aspnetcdn.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:44.228656200 CET","ajax.aspnetcdn.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:44.230156418 CET","ajax.aspnetcdn.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:44.230371483 CET","cs22.wpc.v0cdn.net","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:44.233609163 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:44.252914932 CET","cs22.wpc.v0cdn.net","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:44.271283129 CET","onedscolprdneu02.northeurope.cloudapp.azure.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:45.146648531 CET","browser.pipe.aria.microsoft.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:45.146755010 CET","browser.pipe.aria.microsoft.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:55:45.192175006 CET","browser.pipe.aria.microsoft.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:45.192175273 CET","browser.pipe.aria.microsoft.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:55:45.193647917 CET","onedscolprdcus00.centralus.cloudapp.azure.com","28","192.168.1.52","192.168.1.1"
