frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:56:55.080518690 CET","cdn.dropboxexperiment.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:55.080595658 CET","cdn.dropboxexperiment.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:55.124308818 CET","cdn.dropboxexperiment.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:55.140952170 CET","cdn.dropboxexperiment.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:56.992512517 CET","www-env.dropbox-dns.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:56.992587630 CET","cfl.dropboxstatic.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:56.992635151 CET","cfl.dropboxstatic.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:56.992791966 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:56.992840486 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.044021402 CET","cfl.dropboxstatic.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.044020927 CET","cfl.dropboxstatic.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.044021477 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.044021496 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.044048428 CET","www-env.dropbox-dns.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.177833446 CET","bolt.v.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.177994360 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.198102502 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.211462979 CET","bolt.v.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.271265434 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.280647145 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.297690323 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.313102009 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.924055080 CET","dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.924207802 CET","dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:57.972580793 CET","dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:57.972580877 CET","dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.207118356 CET","accounts.google.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.207256922 CET","consent.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.207327099 CET","accounts.google.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.259967869 CET","accounts.google.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.260093712 CET","accounts.google.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.271228142 CET","consent.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.746407384 CET","consent.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.768227091 CET","consent.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.884200469 CET","www.gstatic.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.884268666 CET","www.gstatic.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.929072122 CET","fp.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.929176051 CET","fp.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.929256631 CET","www.gstatic.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.929257229 CET","www.gstatic.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.973733995 CET","stun.fpapi.io","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.973825456 CET","stun.l.google.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.973880818 CET","stun.l.google.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.974013890 CET","stun.fpapi.io","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:58.978380769 CET","fp.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:58.978398346 CET","fp.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.023131441 CET","stun.l.google.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.026546047 CET","stun.l.google.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.060068748 CET","stun.fpapi.io","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.060079524 CET","stun.fpapi.io","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.061226485 CET","stun.fpapi.io.home","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.061393019 CET","stun.fpapi.io.home","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.094511161 CET","stun.fpapi.io.home","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.094752785 CET","stun.fpapi.io.home","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.096594139 CET","stun.fpapi.io","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.096931532 CET","stun.fpapi.io","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.135595869 CET","stun.fpapi.io","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.136017956 CET","stun.fpapi.io.home","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.136464868 CET","stun.fpapi.io","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.136699011 CET","stun.fpapi.io.home","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.164155935 CET","stun.fpapi.io.home","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.164477396 CET","stun.fpapi.io.home","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.278748028 CET","fonts.gstatic.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.279039254 CET","fonts.gstatic.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:56:59.323307653 CET","fonts.gstatic.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:56:59.323333154 CET","fonts.gstatic.com","1","192.168.1.1","192.168.1.52"
