frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:50:25.977568025 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:25.992007745 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:32.222879739 CET",bolt.v.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:32.222998934 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:32.241452941 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:32.253979043 CET",bolt.v.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:34.232193513 CET",cfl.dropboxstatic.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:34.232307808 CET",cfl.dropboxstatic.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:34.285651883 CET",cfl.dropboxstatic.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:34.285688856 CET",cfl.dropboxstatic.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:34.636314638 CET",www.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:34.636420628 CET",www.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:34.683673741 CET",www.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:34.683674174 CET",www.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.116446271 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.135383795 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.171282754 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.190129800 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.418185182 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.432367760 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.448520736 CET",d.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.448606590 CET",d.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.484430634 CET",d.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.484430421 CET",d.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:36.484767089 CET",d-edge.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:36.509184208 CET",d-edge.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:37.147417760 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:37.149458412 CET",previews.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:37.149535314 CET",previews.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:37.163192974 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:37.191197529 CET",previews.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:37.191198122 CET",previews.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:50:37.250003949 CET",d-edge.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:50:37.269592798 CET",d-edge.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:55.080518690 CET",cdn.dropboxexperiment.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:55.080595658 CET",cdn.dropboxexperiment.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:55.124308818 CET",cdn.dropboxexperiment.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:55.140952170 CET",cdn.dropboxexperiment.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:56.992512517 CET",www-env.dropbox-dns.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:56.992587630 CET",cfl.dropboxstatic.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:56.992635151 CET",cfl.dropboxstatic.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:56.992791966 CET",previews.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:56.992840486 CET",previews.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.044021402 CET",cfl.dropboxstatic.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.044020927 CET",cfl.dropboxstatic.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.044021477 CET",previews.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.044021496 CET",previews.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.044048428 CET",www-env.dropbox-dns.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.177833446 CET",bolt.v.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.177994360 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.198102502 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.211462979 CET",bolt.v.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.271265434 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.280647145 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.297690323 CET",bolt.v.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.313102009 CET",bolt.v.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.924055080 CET",dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.924207802 CET",dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:57.972580793 CET",dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:57.972580877 CET",dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.207118356 CET",accounts.google.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.207256922 CET",consent.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.207327099 CET",accounts.google.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.259967869 CET",accounts.google.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.260093712 CET",accounts.google.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.271228142 CET",consent.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.746407384 CET",consent.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.768227091 CET",consent.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.884200469 CET",www.gstatic.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.884268666 CET",www.gstatic.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.929072122 CET",fp.dropbox.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.929176051 CET",fp.dropbox.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.929256631 CET",www.gstatic.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.929257229 CET",www.gstatic.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.973733995 CET",stun.fpapi.io,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.973825456 CET",stun.l.google.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.973880818 CET",stun.l.google.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.974013890 CET",stun.fpapi.io,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:58.978380769 CET",fp.dropbox.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:58.978398346 CET",fp.dropbox.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.023131441 CET",stun.l.google.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.026546047 CET",stun.l.google.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.060068748 CET",stun.fpapi.io,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.060079524 CET",stun.fpapi.io,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.061226485 CET",stun.fpapi.io.home,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.061393019 CET",stun.fpapi.io.home,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.094511161 CET",stun.fpapi.io.home,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.094752785 CET",stun.fpapi.io.home,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.096594139 CET",stun.fpapi.io,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.096931532 CET",stun.fpapi.io,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.135595869 CET",stun.fpapi.io,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.136017956 CET",stun.fpapi.io.home,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.136464868 CET",stun.fpapi.io,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.136699011 CET",stun.fpapi.io.home,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.164155935 CET",stun.fpapi.io.home,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.164477396 CET",stun.fpapi.io.home,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.278748028 CET",fonts.gstatic.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.279039254 CET",fonts.gstatic.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:56:59.323307653 CET",fonts.gstatic.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:56:59.323333154 CET",fonts.gstatic.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:57.730547872 CET",uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:57.730617863 CET",uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:57.782764556 CET",uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:57.782765579 CET",uc9e964441f5c83f5bf729bbf1ef.dl.dropboxusercontent.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:57.837549700 CET",fp2e7a.wpc.phicdn.net,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:57.859331631 CET",fp2e7a.wpc.phicdn.net,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:58.316870360 CET",sb-ssl.google.com,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:58.316962632 CET",sb-ssl.google.com,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:58.363549232 CET",sb-ssl.google.com,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:58.363553143 CET",sb-ssl.google.com,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:58.484573232 CET",ocsp.pki.goog,1,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:58.484681285 CET",ocsp.pki.goog,28,192.168.1.52,192.168.1.1
"Mar 19, 2024 03:52:58.529482735 CET",ocsp.pki.goog,1,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:58.529482689 CET",ocsp.pki.goog,28,192.168.1.1,192.168.1.52
"Mar 19, 2024 03:52:05.232201403 CET",d-edge.v.dropbox.com,28,192.168.1.52,192.168.1.1
