frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:09:22.640379520 CET","d.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.640480631 CET","d.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.690409735 CET","d.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.690557790 CET","d.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.690776743 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.693906110 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.760970960 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.763785710 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.774617281 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.777318559 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.811273616 CET","bolt.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.811338198 CET","bolt.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.865760299 CET","bolt.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.866869517 CET","bolt.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.867143187 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.869873476 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:22.914268339 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:22.917171960 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:23.949997305 CET","thunder.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:23.950094952 CET","thunder.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:23.952150498 CET","beacon.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:23.952218120 CET","beacon.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:24.001444038 CET","thunder.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.002541630 CET","thunder.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.002698539 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:24.007028835 CET","beacon.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.007029101 CET","beacon.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.008187748 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.500795184 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:24.505411826 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:24.709355568 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:24.712910676 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:26.439631922 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:26.443141975 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.623341854 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.653090545 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.672308803 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.674944851 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.753388057 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.756191241 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.773611309 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.776324905 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.778345132 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.780938622 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:28.805476112 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:28.808264586 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
