frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 04:09:50.085233354 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.089078817 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.188730522 CET","d-edge.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.192513640 CET","d-edge.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.239835202 CET","bolt.v.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.244417473 CET","bolt.v.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.265311041 CET","previews.dropbox.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.265390295 CET","previews.dropbox.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.344712637 CET","previews.dropbox.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.344712836 CET","previews.dropbox.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.592111337 CET","contile.services.mozilla.com","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.592205277 CET","contile.services.mozilla.com","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.597204168 CET","spocs.mozilla.net","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.597305430 CET","spocs.mozilla.net","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.657799881 CET","contile.services.mozilla.com","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.664010423 CET","contile.services.mozilla.com","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.665081704 CET","spocs.mozilla.net","1","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.731528218 CET","spocs.mozilla.net","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.731819229 CET","prod.ads.prod.webservices.mozgcp.net","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.734562606 CET","prod.ads.prod.webservices.mozgcp.net","28","172.20.10.1","172.20.10.12"
"Mar 19, 2024 04:09:50.825269559 CET","r3.o.lencr.org","1","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.825344182 CET","r3.o.lencr.org","28","172.20.10.12","172.20.10.1"
"Mar 19, 2024 04:09:50.864816944 CET","r3.o.lencr.org","28","172.20.10.1","172.20.10.12"
