frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:45:13.523304756 CET","detectportal.firefox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.523414121 CET","detectportal.firefox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.550364769 CET","example.org","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.550477111 CET","example.org","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.550582194 CET","ipv4only.arpa","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.569907129 CET","example.org","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.569907415 CET","example.org","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.569907580 CET","detectportal.firefox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.569928909 CET","detectportal.firefox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.569929446 CET","ipv4only.arpa","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.570841100 CET","ipv4only.arpa","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.570896694 CET","example.org.home","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.570951328 CET","example.org.home","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.590469088 CET","example.org.home","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.590469731 CET","ipv4only.arpa","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.590469786 CET","example.org.home","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.591049329 CET","example.org","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.591114291 CET","example.org","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.619166705 CET","example.org","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.619178087 CET","example.org","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.619650497 CET","example.org.home","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.619714074 CET","example.org.home","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:45:13.646729086 CET","example.org.home","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:45:13.647707349 CET","example.org.home","28","192.168.1.1","192.168.1.52"
