frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:49:50.413232571 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:50.427544667 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:51.122832720 CET","www-env.dropbox-dns.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:51.165181804 CET","www-env.dropbox-dns.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.431544560 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.471299439 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.478897306 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.495391570 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.614595848 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.633166766 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.654129676 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.670162390 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.673313736 CET","d-edge.v.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.673520849 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.712072177 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.715907407 CET","d-edge.v.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.753086395 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.774811776 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.869967319 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.875658956 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:49:58.929281392 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:49:58.945457178 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
