frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:52:05.232201403 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.247292841 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.330991394 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.347128754 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.365075020 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.381836635 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.392072939 CET","previews.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.392148581 CET","previews.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.428049721 CET","previews.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.439034164 CET","previews.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.783687477 CET","thunder.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.783796806 CET","thunder.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.820608222 CET","thunder.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.820608218 CET","thunder.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:05.821079845 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:05.845003809 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:06.196907044 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:06.211896000 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:07.966849860 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:07.981382808 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:27.958063116 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:27.987669413 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.070079491 CET","d.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.070168432 CET","d.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.092689023 CET","d.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.092968140 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.105188764 CET","d.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.118181670 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.216090962 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.230650018 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.380197186 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.394279693 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.429985016 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.443899475 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.450582359 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.471234137 CET","www.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.471326189 CET","www.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.475140249 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.482879443 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:52:29.510673275 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.511478129 CET","www.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:52:29.511496138 CET","www.dropbox.com","28","192.168.1.1","192.168.1.52"
