frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:54:02.139832258 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:02.155373801 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:08.421903342 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:08.437609922 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.082607411 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.098870495 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.138416872 CET","d.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.138512855 CET","d.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.181604741 CET","d.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.181604841 CET","d.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.181833405 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.200700508 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.459254840 CET","www.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.459316553 CET","www.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:09.493666762 CET","www.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:09.498597583 CET","www.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:10.131978812 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:10.146968161 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:10.599875438 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
