frame.time,dns.qry.name,dns.qry.type,ip.src,ip.dst
"Mar 19, 2024 03:54:47.439872544 CET","d.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:47.440016893 CET","d.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:47.464360130 CET","d.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:47.464596659 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:47.475386154 CET","d.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:47.493249759 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:47.518022731 CET","d-edge.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:47.536153493 CET","d-edge.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:47.574873843 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:47.591518662 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:48.122841315 CET","thunder.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:48.122936473 CET","thunder.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:48.158373641 CET","thunder.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:48.158394142 CET","thunder.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:48.158556294 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:48.182455172 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:48.547097096 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:48.561868027 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:49.596336387 CET","cfl.dropboxstatic.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:49.596437530 CET","cfl.dropboxstatic.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:49.644139620 CET","cfl.dropboxstatic.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:49.644139900 CET","cfl.dropboxstatic.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:56.424518676 CET","bolt.dropbox.com","1","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:56.424585888 CET","bolt.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:56.464219056 CET","bolt.dropbox.com","28","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:56.464219176 CET","bolt.dropbox.com","1","192.168.1.1","192.168.1.52"
"Mar 19, 2024 03:54:56.464546624 CET","bolt.v.dropbox.com","28","192.168.1.52","192.168.1.1"
"Mar 19, 2024 03:54:56.493733128 CET","bolt.v.dropbox.com","28","192.168.1.1","192.168.1.52"
